Date;Open;High;Low;Close;Adj Close;Volume;Variation;Operation(1=BUY,0=NONE,-1=SELL)
02/02/2021;7844,600098;7958,899902;7828,100098;7950,899902;7950,899902;238438100;1,958140381;1
03/02/2021;8048,200195;8088,200195;7983,299805;8012,799805;8012,799805;220821600;0,778527007;1
04/02/2021;8031,399902;8122,600098;8005,399902;8122,600098;8122,600098;241673000;1,370311198;1
05/02/2021;8129,799805;8227,200195;8107,299805;8214,700195;8214,700195;261535200;1,133874571;1
08/02/2021;8251,799805;8260,299805;8187,899902;8219;8219;203539900;0,052342811;0
09/02/2021;8216,799805;8219;8090,799805;8101;8101;159552300;-1,435697773;-1
10/02/2021;8127,200195;8144,299805;8026,899902;8065,399902;8065,399902;170296200;-0,439453129;0
11/02/2021;8067,100098;8095,100098;8008,200195;8037,600098;8037,600098;136461900;-0,344679797;0
12/02/2021;8025;8055;7921,299805;8055;8055;157832900;0,21648131;0
15/02/2021;8124,399902;8218,599609;8108,200195;8203,5;8203,5;193906300;1,843575419;1
16/02/2021;8215,099609;8222,299805;8129,200195;8153,700195;8153,700195;164686700;-0,607055586;0
17/02/2021;8140,799805;8176,299805;8073,899902;8122,700195;8122,700195;190607900;-0,380195485;0
18/02/2021;8133,5;8168,600098;8045,299805;8058,100098;8058,100098;151455500;-0,79530323;-1
19/02/2021;8066,700195;8172,600098;8016,100098;8151,600098;8151,600098;209007000;1,160323139;1
22/02/2021;8119,600098;8126,299805;8045,299805;8112,200195;8112,200195;221465900;-0,483339498;0
23/02/2021;8128;8259,900391;8107,600098;8252,099609;8252,099609;293160800;1,724555739;1
24/02/2021;8266,599609;8311,5;8205,200195;8269,599609;8269,599609;225852700;0,212067241;0
25/02/2021;8331,200195;8387;8310,700195;8317,799805;8317,799805;309755000;0,582860093;0
26/02/2021;8218,599609;8377,099609;8166,299805;8225;8225;291865800;-1,115677309;-1
01/03/2021;8324,599609;8395,900391;8291,299805;8378,099609;8378,099609;182097000;1,861393422;1
02/03/2021;8360,900391;8436,5;8328,599609;8355,799805;8355,799805;177712100;-0,266167807;0
03/03/2021;8397,599609;8466,599609;8278,5;8329,299805;8329,299805;240923800;-0,317144985;0
04/03/2021;8285,099609;8382,200195;8273,900391;8354;8354;207044300;0,296545875;0
05/03/2021;8322,099609;8387,099609;8239,700195;8286,799805;8286,799805;259819800;-0,80440741;-1
