Date;Open;High;Low;Close;Adj Close;Volume;Datetime;DiffClose;DiffClose(%);SMA_20;EMA_50;BBL_20_2.0;BBM_20_2.0;BBU_20_2.0;BBB_20_2.0;BBP_20_2.0;STOCHk_14_3_3;STOCHd_14_3_3;RSI_14;MACD_12_26_9;MACDh_12_26_9;MACDs_12_26_9;ADX_14;DMP_14;DMN_14
2004-04-20;8374,400391;8414,799805;8363,099609;8375,200195;8375,191406;96400,0;2004-04-20;34,79980400000022;0,41551011545701;8149,520019649999;8116,551812013013;7689,234133414628;8149,520019649999;8609,80590588537;11,296024431513441;0,7451521783513874;80,46588994364323;80,17375687964817;60,58978621284979;90,30174281801192;24,367032620406277;65,93471019760564;25,08427044476598;27,792492647952034;17,632929554411973
2004-04-21;8311,299805;8323,700195;8254,599609;8282,099609;8282,09082;113600,0;2004-04-21;-93,10058599999866;-1,1241181632110293;8177,23500985;8123,043882483091;7756,83461028562;8177,23500985;8597,63540941438;10,282213952710938;0,6247199089946883;72,17708921672443;77,16985569069159;54,52001309030345;82,78885970574265;13,48331960650961;69,30554009923304;23,616683480096004;25,589131230645922;23,367455411508416
2004-04-22;8281,700195;8321,400391;8224,0;8293,599609;8293,59082;139000,0;2004-04-22;11,5;0,13866114283501818;8203,500000049999;8129,7323423464995;7825,029868141297;8203,500000049999;8581,9701319587;9,227040456058877;0,6190313334576913;66,66639166645548;73,10312360894106;55,11811370453523;76,87661385190404;6,05685900213679;70,81975484976725;21,937521021506562;23,938496151579322;23,88664936096022
2004-04-23;8358,700195;8376,700195;8325,700195;8331,700195;8331,691406;101600,0;2004-04-23;38,10058599999866;0,4572966514429251;8232,4400147;8137,652650293696;7912,176824058724;8232,4400147;8552,703205341275;7,780516835091596;0,6549665762419454;61,15118793958421;66,66488960758805;57,12965695335704;74,4077886176783;2,8704270143288397;71,53736160334947;20,921890078759482;26,32246087686032;22,55013757161127
2004-04-26;8359,0;8397,900391;8329,200195;8362,900391;8362,891602;109200,0;2004-04-26;31,200195999999778;0,3730786514398385;8254,845044;8146,4858950272765;7965,387808261784;8254,845044;8544,302279738215;7,013026512196158;0,6866516598288203;59,438401105596974;62,41866023721224;58,75966882628391;74,11447635020704;2,0616917974860485;72,052784552721;20,179809991618427;26,5377234662354;21,480115479135918
2004-04-27;8362,400391;8378,299805;8317,599609;8359,0;8358,991211;102000,0;2004-04-27;-3,9003909999992175;-0,0466609761933152;8275,15505375;8154,819781496795;8018,135811224492;8275,15505375;8532,17429627551;6,211829043832544;0,6631102508631764;57,12610472048596;59,23856458855573;58,46042082861898;72,72892157255592;0,5409096158679318;72,18801195668799;19,351363597901397;25,39129944649262;21,37778240192627
2004-04-28;8368,599609;8368,599609;8232,700195;8232,700195;8232,691406;145400,0;2004-04-28;-126,29980500000056;-1,5341237019259701;8285,7350586;8157,873915359666;8055,381322107726;8285,7350586;8516,088795092273;5,560248665039873;0,38488386512067885;37,086691076115336;51,2170656340661;49,643903693635444;60,739355218869605;-9,158925390254709;69,89828060912431;18,303430987726877;22,996068569753835;25,25433564238145
2004-04-29;8207,200195;8224,700195;8116,399902;8159,399902;8159,391602;182800,0;2004-04-29;-73,30029299999933;-0,8983539706398291;8293,495043949999;8157,933757973013;8093,091169487458;8293,495043949999;8493,89891841254;4,832796629178273;0,16543775086777743;22,822156539594136;39,01165077873183;45,36759912284108;44,80631712160539;-20,07357079001514;64,87988791162053;18,369828758592064;21,15674079998164;31,232826083302534
2004-04-30;8132,5;8134,799805;8076,399902;8109,5;8109,491699;168200,0;2004-04-30;-49,89990200000011;-0,6153264936185968;8298,06503905;8156,0343949152475;8120,074776767442;8298,06503905;8476,055301332557;4,289922082918132;-0,029706054229682182;7,85297252773731;22,587273381148947;42,67276431987386;27,831935351709035;-29,638362047929192;57,47029739963823;18,740257944482366;19,93148396391045;32,2150325936705
2004-05-03;8084,100098;8178,399902;8071,5;8170,600098;8170,591797;104000,0;2004-05-03;61,10009799999989;0,7478042893686104;8301,70004885;8156,605598957787;8137,797864289342;8301,70004885;8465,602233410658;3,948641449250211;0,10006649331302231;16,33352306138295;15,669550709571487;46,83688820697328;19,089827134819643;-30,70437621185487;49,794203346674514;18,56252924401276;21,48210334791653;29,81970146604084
